Time (s),Velocity (rad/s),Voltage (V)
8.766583442687988,0.0,10.0
8.786616563796997,0.0,10.0
8.80641770362854,0.0,10.0
8.827415466308594,0.0,10.0
8.847620725631714,0.0,10.0
8.867619752883911,0.0,10.0
8.88759970664978,0.0,10.0
8.9085693359375,0.0,10.0
8.928559064865112,0.0,10.0
8.949421405792236,0.0,10.0
8.969329833984375,0.0,10.0
8.989476203918457,0.0,10.0
9.009607076644897,0.0,10.0
9.029561996459961,0.0,10.0
9.050449848175049,0.0,10.0
9.070429801940918,0.0,10.0
9.090596914291382,0.0,10.0
9.111623048782349,0.0,10.0
9.131616353988647,0.0,10.0
9.151626348495483,0.0,10.0
9.17253589630127,0.0,10.0
9.192565441131592,0.0,10.0
9.212493181228638,0.0,10.0
9.232669353485107,0.0,10.0
9.253539800643921,0.0,10.0
9.288431644439697,0.0,10.0
9.293380498886108,0.0,10.0
9.314356327056885,0.0,10.0
9.334267377853394,0.0,10.0
9.35461163520813,0.0,10.0
9.374472618103027,0.0,10.0
9.395461559295654,0.0,10.0
9.415562868118286,0.0,10.0
9.435633659362793,0.0,10.0
9.456474304199219,0.0,10.0
9.476423025131226,0.0,10.0
9.496435403823853,0.0,10.0
9.517354726791382,0.0,10.0
9.537364721298218,0.0,10.0
9.557467937469482,0.0,10.0
9.577535152435303,0.0,10.0
9.598503112792969,0.0,10.0
9.618459701538086,0.0,10.0
9.638541460037231,0.0,10.0
9.65934705734253,0.0,10.0
9.69436240196228,0.0,10.0
9.699527263641357,0.0,10.0
9.719534873962402,0.0,10.0
9.740285158157349,0.0,10.0
9.760724067687988,0.0,10.0
9.780690908432007,0.0,10.0
9.801547288894653,0.0,10.0
9.821569204330444,0.0,10.0
9.84158992767334,0.0,10.0
9.861598014831543,0.0,10.0
9.897363662719727,0.0,10.0
9.902560949325562,0.0,10.0
9.92280626296997,0.0,10.0
9.943341255187988,0.0,10.0
9.96349024772644,0.0,10.0
9.98349642753601,0.0,10.0
10.004183530807495,0.0,10.0
10.024583101272583,0.0,10.0
10.044532060623169,0.0,10.0
10.064524412155151,0.0,10.0
10.100422620773315,0.0,10.0
10.105379819869995,0.0,10.0
10.125463008880615,0.0,10.0
10.14637303352356,0.0,10.0
10.166350841522217,0.0,10.0
10.186476945877075,0.0,10.0
10.206525325775146,0.0,10.0
10.227383852005005,0.0,10.0
10.247471809387207,0.0,10.0
10.267492532730103,0.0,10.0
